,time,strain1,strain2,strain3,strain4,raw_strain_strain2,stress_strain2
278,56808,120,109,109,137,7.387292222257201e-06,0.0005089844341135211
279,57010,119,109,109,137,7.387292222257201e-06,0.0005089844341135211
280,57213,119,109,109,137,7.387292222257201e-06,0.0005089844341135211
281,57416,119,109,109,137,7.387292222257201e-06,0.0005089844341135211
282,57615,122,112,101,139,2.9549546979978913e-05,0.0020359637869205474
283,57818,122,112,74,137,2.9549546979978913e-05,0.0020359637869205474
284,58021,119,109,109,136,7.387292222257201e-06,0.0005089844341135211
285,58219,119,109,109,136,7.387292222257201e-06,0.0005089844341135211
286,58422,119,109,109,136,7.387292222257201e-06,0.0005089844341135211
287,58622,121,112,100,138,2.9549546979978913e-05,0.0020359637869205474
288,58826,119,109,109,136,7.387292222257201e-06,0.0005089844341135211
289,59026,119,109,109,136,7.387292222257201e-06,0.0005089844341135211
290,59228,120,112,0,130,2.9549546979978913e-05,0.0020359637869205474
291,59429,119,109,109,136,7.387292222257201e-06,0.0005089844341135211
292,59631,119,113,0,124,3.693709126556232e-05,0.002544965588197244
293,59831,119,109,109,135,7.387292222257201e-06,0.0005089844341135211
294,60030,119,109,109,135,7.387292222257201e-06,0.0005089844341135211
295,60234,121,112,103,139,2.9549546979978913e-05,0.0020359637869205474
296,60433,121,112,102,138,2.9549546979978913e-05,0.0020359637869205474
297,60638,118,109,109,135,7.387292222257201e-06,0.0005089844341135211
298,60839,117,113,0,0,3.693709126556232e-05,0.002544965588197244
299,61043,118,109,109,135,7.387292222257201e-06,0.0005089844341135211
300,61245,120,112,99,137,2.9549546979978913e-05,0.0020359637869205474
301,61447,118,109,106,137,7.387292222257201e-06,0.0005089844341135211
302,61649,118,109,109,135,7.387292222257201e-06,0.0005089844341135211
303,61853,118,109,109,134,7.387292222257201e-06,0.0005089844341135211
304,62054,120,112,103,138,2.9549546979978913e-05,0.0020359637869205474
305,62255,118,109,109,134,7.387292222257201e-06,0.0005089844341135211
306,62457,120,112,101,138,2.9549546979978913e-05,0.0020359637869205474
307,62659,117,111,30,132,2.2162065711405158e-05,0.0015269663275158155
308,62862,118,109,109,134,7.387292222257201e-06,0.0005089844341135211
309,63063,117,112,0,125,2.9549546979978913e-05,0.0020359637869205474
310,63265,117,109,109,134,7.387292222257201e-06,0.0005089844341135211
311,63466,117,109,109,133,7.387292222257201e-06,0.0005089844341135211
312,63668,117,109,109,134,7.387292222257201e-06,0.0005089844341135211
313,63872,119,113,39,131,3.693709126556232e-05,0.002544965588197244
314,64071,119,113,98,132,3.693709126556232e-05,0.002544965588197244
315,64275,118,109,109,134,7.387292222257201e-06,0.0005089844341135211
316,64478,118,109,109,134,7.387292222257201e-06,0.0005089844341135211
317,64678,118,110,110,134,1.4774647458831252e-05,0.0010179732099134732
318,64880,120,114,102,136,4.432469856916519e-05,0.003053971731415482
319,65080,118,110,110,134,1.4774647458831252e-05,0.0010179732099134732
320,65281,118,112,105,137,2.9549546979978913e-05,0.0020359637869205474
321,65483,118,114,101,134,4.432469856916519e-05,0.003053971731415482
322,65682,115,115,7,126,5.171236889179732e-05,0.0035629822166448354
323,65882,118,110,110,134,1.4774647458831252e-05,0.0010179732099134732
324,66083,118,114,103,136,4.432469856916519e-05,0.003053971731415482
325,66283,116,111,104,133,2.2162065711405158e-05,0.0015269663275158155
326,66486,118,110,110,133,1.4774647458831252e-05,0.0010179732099134732
327,66689,118,110,110,133,1.4774647458831252e-05,0.0010179732099134732
328,66887,117,110,110,133,1.4774647458831252e-05,0.0010179732099134732
329,67088,112,115,0,0,5.171236889179732e-05,0.0035629822166448354
330,67290,117,110,110,133,1.4774647458831252e-05,0.0010179732099134732
331,67492,117,110,110,133,1.4774647458831252e-05,0.0010179732099134732
332,67697,119,113,104,135,3.693709126556232e-05,0.002544965588197244
333,67899,117,110,110,132,1.4774647458831252e-05,0.0010179732099134732
334,68100,117,110,110,132,1.4774647458831252e-05,0.0010179732099134732
335,68304,117,110,109,134,1.4774647458831252e-05,0.0010179732099134732
336,68506,117,110,109,132,1.4774647458831252e-05,0.0010179732099134732
337,68707,117,110,109,132,1.4774647458831252e-05,0.0010179732099134732
338,68909,117,113,104,135,3.693709126556232e-05,0.002544965588197244
339,69108,117,110,109,131,1.4774647458831252e-05,0.0010179732099134732
340,69310,117,110,109,131,1.4774647458831252e-05,0.0010179732099134732
341,69514,117,110,109,131,1.4774647458831252e-05,0.0010179732099134732
342,69715,117,110,109,131,1.4774647458831252e-05,0.0010179732099134732
343,69916,116,114,101,130,4.432469856916519e-05,0.003053971731415482
344,70118,118,113,103,136,3.693709126556232e-05,0.002544965588197244
345,70319,117,110,109,130,1.4774647458831252e-05,0.0010179732099134732
346,70521,115,114,100,130,4.432469856916519e-05,0.003053971731415482
347,70721,117,114,102,135,4.432469856916519e-05,0.003053971731415482
348,70921,116,110,109,130,1.4774647458831252e-05,0.0010179732099134732
349,71121,114,112,105,129,2.9549546979978913e-05,0.0020359637869205474
350,71323,116,110,109,130,1.4774647458831252e-05,0.0010179732099134732
351,71521,116,110,109,130,1.4774647458831252e-05,0.0010179732099134732
352,71726,117,113,102,134,3.693709126556232e-05,0.002544965588197244
353,71926,116,110,109,130,1.4774647458831252e-05,0.0010179732099134732
354,72125,116,110,109,130,1.4774647458831252e-05,0.0010179732099134732
355,72329,116,110,109,129,1.4774647458831252e-05,0.0010179732099134732
356,72532,115,114,98,129,4.432469856916519e-05,0.003053971731415482
357,72735,116,110,108,129,1.4774647458831252e-05,0.0010179732099134732
358,72936,116,110,109,129,1.4774647458831252e-05,0.0010179732099134732
359,73137,116,110,108,129,1.4774647458831252e-05,0.0010179732099134732
360,73336,116,110,109,129,1.4774647458831252e-05,0.0010179732099134732
361,73538,116,114,102,132,4.432469856916519e-05,0.003053971731415482
362,73741,116,110,108,129,1.4774647458831252e-05,0.0010179732099134732
363,73942,116,110,109,129,1.4774647458831252e-05,0.0010179732099134732
364,74144,115,110,108,129,1.4774647458831252e-05,0.0010179732099134732
365,74345,115,110,108,128,1.4774647458831252e-05,0.0010179732099134732
366,74548,115,109,108,129,7.387292222257201e-06,0.0005089844341135211
367,74747,115,109,108,128,7.387292222257201e-06,0.0005089844341135211
368,74951,117,113,103,132,3.693709126556232e-05,0.002544965588197244
369,75153,115,113,100,129,3.693709126556232e-05,0.002544965588197244
370,75354,115,109,108,128,7.387292222257201e-06,0.0005089844341135211
371,75557,115,113,101,126,3.693709126556232e-05,0.002544965588197244
372,75758,112,114,97,117,4.432469856916519e-05,0.003053971731415482
373,75958,114,113,100,128,3.693709126556232e-05,0.002544965588197244
374,76158,115,109,108,127,7.387292222257201e-06,0.0005089844341135211
375,76359,114,109,108,127,7.387292222257201e-06,0.0005089844341135211
376,76561,114,113,100,128,3.693709126556232e-05,0.002544965588197244
377,76763,116,113,102,130,3.693709126556232e-05,0.002544965588197244
378,76966,114,109,108,126,7.387292222257201e-06,0.0005089844341135211
379,77169,114,109,108,127,7.387292222257201e-06,0.0005089844341135211
380,77374,111,113,0,118,3.693709126556232e-05,0.002544965588197244
381,77577,114,113,101,128,3.693709126556232e-05,0.002544965588197244
382,77778,112,114,16,117,4.432469856916519e-05,0.003053971731415482
383,77981,114,113,100,128,3.693709126556232e-05,0.002544965588197244
384,78183,114,110,50,116,1.4774647458831252e-05,0.0010179732099134732
385,78385,114,109,108,126,7.387292222257201e-06,0.0005089844341135211
386,78587,108,113,0,0,3.693709126556232e-05,0.002544965588197244
387,78788,113,109,108,126,7.387292222257201e-06,0.0005089844341135211
388,78993,112,113,99,127,3.693709126556232e-05,0.002544965588197244
389,79193,113,109,108,126,7.387292222257201e-06,0.0005089844341135211
390,79394,111,113,96,122,3.693709126556232e-05,0.002544965588197244
391,79596,113,109,107,125,7.387292222257201e-06,0.0005089844341135211
392,79798,113,109,107,125,7.387292222257201e-06,0.0005089844341135211
393,79998,113,113,101,127,3.693709126556232e-05,0.002544965588197244
394,80200,110,114,61,0,4.432469856916519e-05,0.003053971731415482
395,80402,112,110,106,124,1.4774647458831252e-05,0.0010179732099134732
396,80607,111,113,84,118,3.693709126556232e-05,0.002544965588197244
397,80808,114,112,101,128,2.9549546979978913e-05,0.0020359637869205474
398,81012,111,112,98,122,2.9549546979978913e-05,0.0020359637869205474
399,81214,113,109,107,124,7.387292222257201e-06,0.0005089844341135211
400,81413,113,109,107,124,7.387292222257201e-06,0.0005089844341135211
401,81616,114,112,102,128,2.9549546979978913e-05,0.0020359637869205474
402,81818,108,113,0,0,3.693709126556232e-05,0.002544965588197244
403,82019,113,108,107,124,0.0,0.0
404,82220,114,112,101,126,2.9549546979978913e-05,0.0020359637869205474
405,82420,113,109,107,124,7.387292222257201e-06,0.0005089844341135211
