time,ax,ay,az,aT
4.068,-0.2049,-0.747,-0.3532,0.851
4.072,-0.3695,-0.4231,-0.6178,0.835
4.082,0.8423,0.7121,-0.0397,1.104
4.092,0.5623,1.0041,0.5935,1.295
4.107,0.3173,0.3589,-0.8358,0.963
4.134,-0.746,-0.6407,-0.4647,1.088
4.135,0.4731,-0.8361,-0.6227,1.145
4.136,-0.2893,0.143,0.7419,0.809
4.141,0.13,0.8564,-0.794,1.175
4.152,-0.0294,-0.0255,-0.1954,0.199
4.162,0.0651,-0.0387,0.0524,0.092
4.172,-0.7581,-0.2679,0.0799,0.808
4.184,-0.2346,-0.5413,1.6709,1.772
4.194,-0.2299,-0.1611,-1.1016,1.137
4.206,0.0229,-0.6313,1.6948,1.809
4.267,0.4261,-0.5174,-1.42,1.57
4.27,-0.0966,-0.3502,1.0172,1.08
4.273,-0.0441,0.2713,0.1373,0.307
4.275,0.5785,0.3733,1.1596,1.349
4.278,0.7021,0.7724,0.4784,1.148
4.281,0.3207,-0.2346,-0.1944,0.442
4.283,0.1999,0.1292,-0.4458,0.505
4.284,0.2453,0.633,-0.1585,0.697
4.294,0.2252,0.1815,0.7369,0.792
4.306,-0.3237,0.3726,-0.6074,0.783
4.356,-0.8432,-1.1057,-0.7307,1.571
4.358,-0.7588,-0.8718,-0.9295,1.483
4.359,-0.1626,0.6847,-0.034,0.705
4.36,1.0302,0.4578,0.9261,1.459
4.362,-0.4331,-0.0816,0.7333,0.856
4.363,-0.8068,-1.063,-1.1198,1.742
4.372,-0.9099,-0.7133,-0.7199,1.362
4.387,-0.5149,-0.0971,0.3779,0.646
4.392,0.2814,-0.0292,2.0766,2.096
4.422,-0.2241,0.0214,-1.2382,1.258
4.423,-0.5105,-1.0872,-0.4169,1.271
4.423,-0.4501,-0.9073,-0.3797,1.082
4.432,-0.1246,0.3521,0.7492,0.837
4.441,0.6856,0.5539,0.4847,1.006
4.452,-0.4681,-0.5554,-0.3365,0.8
4.466,-0.9739,-0.8427,0.055,1.289
4.474,-0.3198,0.2134,-0.0873,0.394
4.484,0.1079,0.6564,0.2372,0.706
4.492,0.2385,0.8595,0.4216,0.987
4.507,0.12,0.5012,0.1643,0.541
4.554,0.4425,-0.0811,0.9161,1.021
4.556,-0.8934,-0.5844,-2.0431,2.305
4.557,-0.8345,-0.096,-1.1812,1.449
4.558,0.2349,0.5197,-0.1037,0.58
4.559,0.6396,0.2369,0.629,0.928
4.564,-0.3677,-0.502,0.7164,0.949
4.572,-0.8534,-0.2464,-0.5813,1.062
4.583,0.1191,-0.3322,-0.6039,0.699
4.592,0.2048,0.5395,0.7142,0.918
4.602,0.2493,-0.5175,1.0459,1.193
4.635,-0.2869,-0.5627,-0.581,0.858
4.635,-0.1222,-0.1442,-0.4853,0.521
4.636,-0.5018,-0.0196,-0.6444,0.817
4.64,0.4543,1.0812,-0.0266,1.173
4.652,0.1241,-0.6111,0.3098,0.696
4.661,-0.0323,-0.5982,-1.098,1.251
4.672,-0.7153,-0.7868,-0.3666,1.125
4.689,0.0002,0.499,-0.0289,0.5
4.693,0.6108,0.882,0.5086,1.187
4.742,0.1723,0.1301,0.3446,0.407
4.747,-0.4826,-0.6134,-0.2887,0.832
4.749,0.0293,-0.6095,0.4344,0.749
4.749,-0.0646,0.6342,-1.0679,1.244
4.751,0.0915,1.1706,-0.7806,1.41
4.752,-0.0433,0.2082,-0.6837,0.716
4.761,-0.0654,-0.7879,0.2549,0.831
4.772,-0.0147,-0.5583,-0.1294,0.573
4.808,-0.1974,0.4758,-0.5448,0.75
4.808,0.4143,0.6094,-0.4106,0.844
4.809,0.7896,0.8475,0.0407,1.159
4.816,0.5136,-0.0221,-0.6633,0.839
4.821,0.0136,0.2224,0.669,0.705
4.834,-0.1374,0.884,-0.8539,1.237
4.841,0.043,0.99,-0.4492,1.088
4.853,0.7766,0.5468,-0.5115,1.079
4.862,0.5823,-0.1851,0.0176,0.611
4.872,0.1574,0.1911,-0.7439,0.784
4.887,0.5054,0.8248,0.1419,0.978
4.892,0.9967,1.0467,0.3107,1.478
4.936,0.3698,-0.1535,-0.1958,0.446
4.938,0.1318,-0.4925,-0.2772,0.58
4.94,-0.5904,-0.6163,-0.7992,1.169
4.942,0.1904,-0.2123,0.8672,0.913
4.943,0.1382,0.3704,-0.7478,0.846
4.952,-0.4945,-0.262,-0.0535,0.562
4.961,-0.7627,-0.7161,-0.8675,1.359
4.972,-0.4557,-0.1946,0.6337,0.804
4.989,-0.4551,-0.1932,0.6337,0.804
4.997,0.1607,0.2253,0.4684,0.544
5.001,0.2413,0.9671,-0.0415,0.998
5.045,0.1015,-0.3623,-0.9692,1.04
5.046,0.3842,-0.4803,0.3811,0.724
5.046,-0.2309,0.2252,0.3763,0.496
5.047,0.3858,0.9309,-0.239,1.036
5.052,0.2672,0.3633,-0.0858,0.459
5.062,-0.0374,-0.6913,-0.0199,0.693
5.074,-0.3946,-0.7736,0.2004,0.891
5.096,-0.0189,0.3151,-0.5945,0.673
5.099,0.5189,0.7104,0.2267,0.908
5.102,0.1885,-0.1937,-0.1312,0.3
5.112,-0.8058,-0.7117,-0.5059,1.188
5.124,-0.6438,-1.004,-0.4114,1.262
5.133,-0.1845,-0.2794,-0.4258,0.542
5.141,0.7011,0.8873,-0.2331,1.155
5.153,0.4305,0.4077,0.6276,0.863
5.161,-0.3042,-0.8975,-0.3289,1.003
5.172,-0.6719,-0.6287,-0.5875,1.092
5.188,0.3144,-0.4687,1.1495,1.281
5.193,0.3462,0.0849,-0.4882,0.605
5.235,0.1829,-0.2395,-1.2927,1.327
5.238,-0.4847,-0.9265,-0.4871,1.153
5.239,-0.6297,-0.2938,-0.6033,0.92
5.24,-0.7487,-0.3052,0.3113,0.866
5.241,0.1555,0.6057,1.0654,1.235
5.252,0.0978,-0.1361,-1.0894,1.102
5.261,-0.5742,-1.0479,-0.1915,1.21
5.272,-0.5214,-0.4973,-0.626,0.954
5.291,-0.0188,0.6811,0.1294,0.694
5.295,-0.0145,0.6844,0.1294,0.697
5.329,0.3088,0.3795,0.4371,0.656
5.333,-0.5713,-0.6048,-0.1638,0.848
