time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z
94340,-121.0,137.5,-312.0,-121.0,137.5,-312.0
94350,-252.0,112.0,-208.0,-252.0,112.0,-208.0
94360,82.0,260.5,-191.0,106.0,148.5,-194.5
94370,64.0,0.0,-471.0,64.0,0.0,-471.0
94380,1.0,-504.0,-263.0,1.0,-504.0,-263.0
94390,14.0,-506.0,-315.0,13.5,-488.0,-313.5
94400,128.0,57.0,-511.5,128.0,57.0,-511.5
94410,69.0,0.0,-285.0,69.0,0.0,-285.0
94420,38.5,106.0,-383.0,94.5,98.0,-375.0
94430,6.0,111.0,-292.0,6.0,111.0,-292.0
94440,23.5,320.0,-400.0,23.5,320.0,-400.0
94450,0.0,448.0,-444.0,0.0,364.0,-416.0
94460,33.0,194.5,-334.0,33.0,194.5,-334.0
94470,329.0,9.0,-476.0,329.0,9.0,-476.0
94480,236.0,68.0,-434.0,236.0,68.0,-434.0
94490,204.0,16.0,-248.0,354.0,146.0,-254.0
94500,2.0,463.0,-256.0,2.0,463.0,-256.0
94510,193.0,292.5,-239.5,193.0,292.5,-239.5
94520,13.0,249.0,-248.0,13.0,249.0,-248.0
94530,132.0,332.0,-255.0,132.0,332.0,-255.0
94540,100.0,511.0,-249.0,102.0,252.0,-231.0
94550,179.0,196.0,-241.5,179.0,196.0,-241.5
94560,136.0,137.0,-204.0,16.0,134.0,-220.0
94570,192.0,100.0,-222.0,192.0,100.0,-222.0
94580,80.0,68.0,-238.0,80.0,68.0,-238.0
94590,122.0,-318.0,-394.0,174.0,-512.0,-297.5
94600,32.0,-256.0,-328.0,32.0,-256.0,-328.0
94610,9.0,-384.0,-328.0,106.0,-512.0,-327.0
94620,129.0,-512.0,-384.0,129.0,-512.0,-384.0
94630,18.0,-244.0,-376.0,41.0,-252.0,-342.5
94640,9.0,46.0,-496.0,9.0,46.0,-496.0
94650,9.5,26.5,-510.0,9.5,26.5,-510.0
94660,64.0,35.0,-256.0,4.0,107.0,-384.0
94670,110.0,162.0,-480.0,110.0,162.0,-480.0
94680,68.0,1.0,-490.0,68.0,1.0,-490.0
94690,22.0,33.0,-224.5,28.0,65.0,-238.0
94700,0.0,96.0,1.0,0.0,96.0,1.0
94710,24.0,347.0,25.0,24.0,347.0,25.0
94720,52.0,64.0,-284.0,16.0,8.0,-316.0
94730,2.0,-512.0,-425.0,32.0,-512.0,-512.0
94740,116.0,-512.0,-384.0,116.0,-512.0,-384.0
94750,256.0,-512.0,-512.0,256.0,-512.0,-512.0
94760,0.0,-423.5,-434.0,0.0,-416.0,-362.0
94770,2.0,4.0,-239.0,2.0,4.0,-239.0
94780,98.0,320.5,-399.5,98.0,320.5,-399.5
94790,20.5,152.0,-366.0,20.5,152.0,-366.0
94800,68.0,320.0,-487.0,68.0,320.0,-487.0
94810,-223.0,280.0,-248.0,-223.0,280.0,-248.0
94820,-228.0,96.0,-480.0,-228.0,96.0,-480.0
94830,16.0,12.0,-499.5,10.5,14.0,-371.5
94840,44.5,10.0,-246.0,44.5,10.0,-246.0
94850,2.0,0.0,-239.0,2.0,0.0,-239.0
94860,3.0,72.0,-271.0,7.5,10.0,-267.5
94870,13.0,36.0,-296.0,3.0,100.0,-360.0
94880,-87.0,-492.0,-381.5,-98.5,-236.0,-175.5
94890,10.0,0.0,33.0,132.0,0.0,66.0
94900,35.0,-256.0,-338.5,35.0,-256.0,-338.5
94910,159.0,-512.0,-295.0,159.0,-512.0,-295.0
94920,-384.0,-190.0,-381.0,-384.0,-190.0,-381.0
94940,160.0,136.5,-414.0,160.5,69.5,-494.0
94950,33.0,2.0,-480.0,65.0,0.0,-208.0
94960,0.5,340.0,-247.0,0.5,340.0,-247.0
94970,1.0,424.0,-510.0,1.0,424.0,-510.0
94980,24.0,0.0,-448.0,152.0,16.5,-448.0
94990,176.0,17.0,-437.5,48.5,1.0,-501.5
95000,64.0,0.0,-512.0,64.0,0.0,-512.0
95010,20.0,198.0,-347.5,20.0,198.0,-347.5
95020,45.0,254.0,-247.0,45.0,254.0,-247.0
95030,71.0,279.5,-249.0,71.0,279.5,-249.0
95040,25.0,440.0,-255.0,3.0,144.0,-253.0
95050,1.5,200.0,-254.5,0.0,128.0,-255.5
95060,-216.0,80.0,-488.0,-216.0,80.0,-488.0
95070,-252.0,2.0,-387.0,-240.0,4.0,-405.0
95080,-159.0,6.0,-426.5,-159.0,6.0,-426.5
95090,368.0,16.0,36.0,368.0,16.0,36.0
95100,2.0,273.0,8.0,2.0,273.0,8.0
95110,64.5,-230.5,-206.0,64.5,-230.5,-206.0
95130,330.5,182.0,-233.0,330.5,182.0,-233.0
95140,132.0,411.0,4.0,132.0,411.0,4.0
95150,7.0,-512.0,-464.0,7.0,-512.0,-464.0
95160,132.5,-256.0,-443.5,132.5,-256.0,-443.5
95170,-127.0,0.0,-448.0,-127.0,0.0,-448.0
95180,82.0,10.0,-248.0,82.0,10.0,-248.0
95190,51.0,222.0,-256.0,51.0,222.0,-256.0
95200,44.0,14.0,-502.0,44.0,14.0,-502.0
95210,57.5,7.0,-497.5,46.0,140.0,-469.5
95220,32.0,345.0,-512.0,32.0,345.0,-512.0
95230,-190.0,288.0,-240.0,-190.0,288.0,-240.0
95240,52.0,511.0,-442.0,52.0,511.0,-442.0
95250,133.0,464.0,-163.5,133.0,464.0,-163.5
95260,379.5,96.5,-512.0,379.5,96.5,-512.0
95270,359.0,1.0,-224.0,359.0,1.0,-224.0
95280,-112.0,-471.0,-405.5,-479.5,-512.0,-288.0
95290,-512.0,0.0,-236.0,-512.0,0.0,-236.0
95300,32.0,276.0,-474.0,64.0,292.0,-464.0
95310,33.0,160.0,-444.0,33.0,160.0,-444.0
95320,4.0,0.0,-384.0,4.0,0.0,-384.0
95330,236.0,10.0,-224.0,236.0,10.0,-224.0
95340,464.0,284.5,-444.0,464.0,284.5,-444.0
95350,492.0,140.0,-318.0,492.0,140.0,-318.0
95360,1.0,40.0,-215.0,1.0,40.0,-215.0
95370,369.0,192.0,-237.0,369.0,192.0,-237.0
95380,0.0,-512.0,-492.0,0.0,-512.0,-492.0
95390,156.5,-476.0,-408.0,156.5,-476.0,-408.0
95400,200.0,-448.0,-352.0,199.0,-152.0,-364.0
95410,2.0,304.0,-312.0,2.0,304.0,-312.0
95420,-88.0,4.0,-509.5,132.0,5.0,-398.5
95430,256.0,2.0,-286.0,256.0,40.0,-288.0
95440,196.0,29.0,-448.0,196.0,29.0,-448.0
95450,116.0,0.0,-214.0,107.5,226.5,-211.5
